Locality,BHK,Area_sqft,Furnishing,Floor_Number,Total_Building_Floors,Age_Years,Balconies,Bathrooms,Parking,Lift,Availability,Tenant_Type,Security_Deposit,Rent_INR
Alandi,2 BHK,862,Semi-Furnished,1,8,18,0,2,0,Yes,Immediate,Family,75774,37887
Alandi,2 BHK,875,Semi-Furnished,3,5,0,0,2,1,Yes,After 1 Month,Bachelor,63080,31540
Alandi,1 BHK,402,Unfurnished,5,5,24,0,1,1,Yes,Immediate,Family,34812,11604
Alandi,3 BHK,1158,Semi-Furnished,1,6,17,1,2,2,Yes,Immediate,Both,59787,59787
Alandi,3 BHK,1105,Semi-Furnished,6,6,20,1,2,1,Yes,After 1 Month,Family,78529,78529
Alandi,2 BHK,727,Semi-Furnished,0,4,3,0,1,2,No,Immediate,Family,47074,23537
Alandi,2 BHK,873,Unfurnished,0,3,1,1,2,2,No,Not Sure,Family,66158,33079
Alandi,2 BHK,1009,Semi-Furnished,7,10,5,1,2,2,Yes,Immediate,Family,63510,31755
Alandi,3 BHK,885,Unfurnished,7,8,27,2,2,2,Yes,Immediate,Family,53118,26559
Alandi,2 BHK,870,Unfurnished,3,12,19,1,2,0,Yes,Immediate,Family,73808,36904
Alandi,1 BHK,487,Unfurnished,7,12,4,0,1,0,No,Immediate,Family,11932,11932
Alandi,1 BHK,316,Semi-Furnished,3,5,18,1,1,1,No,Immediate,Family,15712,7856
Alandi,2 BHK,1044,Semi-Furnished,0,3,22,0,1,1,No,Immediate,Both,80508,26836
Alandi,2 BHK,762,Semi-Furnished,2,4,0,1,2,1,Yes,Immediate,Bachelor,70666,35333
Alandi,3 BHK,1143,Semi-Furnished,3,8,3,3,2,1,Yes,Immediate,Bachelor,124209,41403
Alandi,3 BHK,1208,Semi-Furnished,3,5,7,1,2,2,Yes,Immediate,Family,41223,41223
Alandi,1 BHK,445,Unfurnished,6,10,24,0,1,1,Yes,Immediate,Both,33957,11319
Alandi,1 BHK,445,Semi-Furnished,6,6,13,0,1,1,Yes,After 2 Months,Family,27706,13853
Alandi,1 BHK,394,Semi-Furnished,6,12,4,0,1,1,Yes,After 1 Month,Both,23826,11913
Alandi,2 BHK,861,Unfurnished,0,15,2,1,2,1,Yes,Not Sure,Family,132099,44033
Alandi,2 BHK,862,Fully Furnished,7,10,7,0,2,1,Yes,Immediate,Family,60130,30065
Alandi,2 BHK,695,Unfurnished,1,12,13,2,2,1,Yes,Not Sure,Bachelor,64544,32272
Alandi,1 BHK,464,Fully Furnished,3,15,1,0,1,1,Yes,After 2 Months,Family,80973,26991
Alandi,1 BHK,336,Semi-Furnished,5,8,15,0,1,1,Yes,Immediate,Family,9921,9921
Alandi,1 BHK,413,Fully Furnished,4,6,17,0,1,2,Yes,Immediate,Family,45404,22702
Alandi,2 BHK,811,Semi-Furnished,5,8,10,1,2,1,Yes,Immediate,Bachelor,94568,47284
Alandi,2 BHK,756,Unfurnished,2,15,9,1,2,1,Yes,Immediate,Family,81944,40972
Alandi,1 BHK,517,Unfurnished,1,5,10,0,1,1,Yes,Immediate,Family,65742,21914
Alandi,3 BHK,1051,Semi-Furnished,1,12,11,3,2,0,Yes,After 1 Month,Family,75514,37757
Alandi,1 BHK,488,Semi-Furnished,4,8,14,0,1,1,Yes,Immediate,Family,51393,17131
Alandi,1 BHK,471,Fully Furnished,9,10,9,0,1,1,Yes,Immediate,Family,38442,19221
Alandi,2 BHK,928,Semi-Furnished,1,3,14,1,2,1,No,Immediate,Family,32411,32411
Alandi,2 BHK,764,Unfurnished,1,4,18,2,2,0,Yes,Not Sure,Both,61086,30543
Alandi,1 BHK,422,Semi-Furnished,1,15,13,1,1,0,Yes,Immediate,Family,47328,15776
Alandi,1 BHK,411,Unfurnished,0,4,0,0,1,1,Yes,After 2 Months,Family,40017,13339
Alandi,1 BHK,352,Unfurnished,4,12,23,0,1,1,Yes,Immediate,Family,12343,12343
Alandi,2 BHK,647,Semi-Furnished,1,5,0,0,1,2,Yes,Not Sure,Family,75380,37690
Alandi,1 BHK,414,Semi-Furnished,5,10,12,0,1,0,Yes,Immediate,Both,29326,14663
Alandi,2 BHK,776,Fully Furnished,8,8,0,2,1,1,Yes,Not Sure,Family,75484,37742
Alandi,3 BHK,1264,Unfurnished,4,5,3,1,2,1,Yes,Not Sure,Family,105874,52937
Alandi,2 BHK,776,Unfurnished,8,12,11,1,1,1,Yes,Not Sure,Family,53428,26714
Alandi,2 BHK,703,Fully Furnished,7,15,3,1,1,0,Yes,Immediate,Family,73005,24335
Alandi,1 BHK,378,Semi-Furnished,2,8,8,1,1,1,Yes,Immediate,Family,26682,13341
Alandi,1 BHK,337,Fully Furnished,2,5,17,0,1,0,Yes,Immediate,Family,39594,19797
Alandi,2 BHK,684,Unfurnished,15,15,3,0,2,0,Yes,Immediate,Family,54778,27389
Alandi,2 BHK,683,Unfurnished,6,6,1,1,2,1,Yes,Immediate,Both,23585,23585
Alandi,1 BHK,472,Semi-Furnished,6,12,15,0,1,1,Yes,After 2 Months,Family,26828,13414
Alandi,2 BHK,934,Unfurnished,3,12,15,1,1,1,Yes,After 1 Month,Family,74640,37320
Alandi,1 BHK,335,Semi-Furnished,4,8,16,0,1,2,Yes,Not Sure,Family,27224,13612
Alandi,2 BHK,770,Semi-Furnished,6,6,14,2,2,1,Yes,Immediate,Family,84798,42399
Alandi,1 BHK,309,Semi-Furnished,14,15,3,0,1,1,Yes,Immediate,Bachelor,23538,11769
Alandi,2 BHK,778,Semi-Furnished,1,3,9,1,2,2,No,Immediate,Family,41984,41984
Amanora,1 BHK,417,Unfurnished,0,5,14,0,1,0,Yes,Immediate,Bachelor,35072,17536
Amanora,1 BHK,404,Semi-Furnished,1,3,10,1,1,1,No,Immediate,Bachelor,22754,11377
Amanora,1 BHK,348,Semi-Furnished,2,6,16,0,1,0,Yes,After 1 Month,Family,32766,10922
Amanora,2 BHK,893,Semi-Furnished,7,10,13,1,1,1,Yes,Immediate,Family,76995,25665
Amanora,1 BHK,428,Semi-Furnished,0,5,9,0,1,1,Yes,Not Sure,Family,40786,20393
Amanora,1 BHK,418,Unfurnished,1,5,15,0,1,1,Yes,Not Sure,Family,22434,11217
Amanora,1 BHK,417,Semi-Furnished,0,3,27,1,1,0,No,Not Sure,Family,20468,10234
Amanora,3 BHK,1200,Unfurnished,12,12,4,1,2,1,No,Immediate,Family,121694,60847
Amanora,1 BHK,427,Fully Furnished,3,6,14,0,1,1,Yes,Immediate,Family,46288,23144
Amanora,1 BHK,340,Unfurnished,3,6,6,0,1,1,Yes,Immediate,Family,19344,9672
Amanora,3 BHK,1234,Fully Furnished,5,5,13,1,2,0,Yes,After 1 Month,Family,191958,95979
Amanora,2 BHK,901,Unfurnished,2,4,17,1,2,2,Yes,Not Sure,Family,102916,51458
Amanora,1 BHK,585,Semi-Furnished,1,3,10,0,1,1,No,Not Sure,Family,18643,18643
Amanora,3 BHK,1452,Semi-Furnished,5,12,13,1,2,1,Yes,Immediate,Family,153012,51004
Amanora,2 BHK,777,Unfurnished,12,12,3,0,2,0,Yes,Not Sure,Both,50506,25253
Amanora,3 BHK,1156,Unfurnished,4,15,9,1,2,1,Yes,After 1 Month,Family,133059,44353
Amanora,1 BHK,546,Semi-Furnished,4,4,12,0,1,0,Yes,After 1 Month,Family,25404,25404
Amanora,3 BHK,896,Unfurnished,0,3,22,3,2,2,No,Not Sure,Family,108248,54124
Amanora,1 BHK,230,Semi-Furnished,1,4,6,0,1,2,Yes,After 1 Month,Family,18178,9089
Amanora,1 BHK,430,Unfurnished,7,10,9,1,1,1,Yes,After 2 Months,Family,45600,15200
Amanora,1 BHK,381,Semi-Furnished,2,5,9,1,1,1,Yes,Not Sure,Both,14230,14230
Amanora,2 BHK,732,Semi-Furnished,8,8,4,1,2,2,Yes,Immediate,Bachelor,44108,22054
Amanora,1 BHK,432,Semi-Furnished,5,10,14,0,1,1,Yes,Immediate,Family,59511,19837
Amanora,1 BHK,503,Fully Furnished,0,5,8,0,1,1,Yes,Immediate,Family,45964,22982
Amanora,1 BHK,392,Fully Furnished,7,10,18,1,1,0,Yes,Immediate,Bachelor,36212,18106
Amanora,2 BHK,945,Semi-Furnished,0,5,9,1,2,1,Yes,After 1 Month,Family,81300,40650
Amanora,1 BHK,503,Unfurnished,1,10,12,0,1,1,Yes,After 1 Month,Family,36238,18119
Amanora,2 BHK,774,Semi-Furnished,4,15,13,1,2,2,Yes,Immediate,Family,88792,44396
Amanora,1 BHK,484,Unfurnished,0,4,2,0,1,1,Yes,Not Sure,Family,18636,18636
Amanora,1 BHK,384,Fully Furnished,1,5,8,0,1,1,Yes,Not Sure,Family,35074,17537
Amanora,1 BHK,414,Semi-Furnished,0,4,26,1,1,0,Yes,Immediate,Both,33036,16518
Amanora,2 BHK,565,Unfurnished,0,8,13,1,2,1,Yes,After 1 Month,Both,30420,15210
Amanora,2 BHK,679,Semi-Furnished,5,6,15,1,2,2,Yes,Not Sure,Family,66471,22157
Amanora,3 BHK,1390,Semi-Furnished,2,3,10,1,2,1,No,Not Sure,Family,74070,74070
Amanora,2 BHK,902,Fully Furnished,5,12,2,1,2,1,Yes,After 1 Month,Bachelor,116648,58324
Amanora,1 BHK,353,Unfurnished,0,3,2,0,1,1,No,Immediate,Family,28380,14190
Amanora,2 BHK,749,Semi-Furnished,4,6,13,1,2,1,Yes,Immediate,Family,76266,38133
Amanora,2 BHK,764,Unfurnished,1,6,9,1,2,1,Yes,After 1 Month,Family,51840,25920
Amanora,1 BHK,341,Unfurnished,4,5,8,0,1,1,Yes,Immediate,Family,22665,7555
Amanora,1 BHK,447,Semi-Furnished,10,10,0,0,1,1,Yes,Immediate,Family,27266,13633
Amanora,2 BHK,663,Fully Furnished,1,5,29,2,2,1,Yes,Immediate,Both,79998,39999
Amanora,2 BHK,725,Unfurnished,11,15,3,1,2,1,No,Immediate,Bachelor,77734,38867
Amanora,2 BHK,670,Fully Furnished,6,10,25,1,2,1,Yes,After 2 Months,Family,88950,29650
Amanora,1 BHK,373,Unfurnished,4,6,22,0,1,1,Yes,Immediate,Family,28670,14335
Amanora,1 BHK,306,Unfurnished,5,8,9,0,1,0,No,Immediate,Family,19422,9711
Amanora,1 BHK,421,Semi-Furnished,2,3,4,0,1,0,No,Immediate,Family,20008,10004
Amanora,2 BHK,873,Unfurnished,0,8,6,1,2,1,Yes,Immediate,Bachelor,115599,38533
Amanora,1 BHK,449,Fully Furnished,2,3,6,0,1,0,No,Immediate,Family,31776,15888
Amanora,3 BHK,819,Unfurnished,0,5,4,1,3,1,Yes,After 1 Month,Family,85028,42514
Amanora,1 BHK,391,Semi-Furnished,9,10,11,0,1,2,Yes,Immediate,Family,15462,15462
Amanora,1 BHK,327,Semi-Furnished,9,12,1,0,1,1,No,Immediate,Family,33666,16833
Amanora,2 BHK,785,Unfurnished,5,15,19,1,1,0,Yes,Immediate,Family,80392,40196
Amanora,3 BHK,893,Unfurnished,4,4,4,2,2,0,Yes,Not Sure,Family,95577,31859
Amanora,1 BHK,490,Fully Furnished,1,12,0,0,1,1,Yes,Immediate,Family,64002,21334
Amanora,3 BHK,1511,Semi-Furnished,6,12,10,2,3,0,No,Immediate,Both,174285,58095
Amanora,1 BHK,433,Unfurnished,3,3,14,0,1,0,No,Not Sure,Family,9077,9077
Amanora,1 BHK,556,Unfurnished,8,10,25,0,1,1,Yes,Not Sure,Bachelor,24392,12196
Amanora,1 BHK,529,Unfurnished,0,5,5,0,1,1,Yes,Not Sure,Family,40750,20375
Amanora,3 BHK,852,Fully Furnished,1,4,1,1,2,1,Yes,After 1 Month,Bachelor,137306,68653
Amanora,2 BHK,785,Semi-Furnished,1,10,6,1,2,1,Yes,Immediate,Family,87255,29085
Amanora,2 BHK,836,Unfurnished,1,8,15,1,2,1,Yes,After 1 Month,Bachelor,72940,36470
Amanora,1 BHK,450,Unfurnished,3,5,12,0,1,0,Yes,Immediate,Family,41844,20922
Amanora,2 BHK,624,Unfurnished,4,6,10,1,1,1,Yes,Immediate,Family,54588,18196
